language_name,language_code,language_family,region,SIB,Flores xx-eng,Flores eng-xx
Sundanese,sun_Latn,Austronesian,Asia 3,71.1,55.8,29.3
Swedish,swe_Latn,Indo-European,Europe 1,78.9,68.8,65.3
Swahili,swh_Latn,Atlantic-Congo,Africa,73.0,60.5,43.0
Silesian,szl_Latn,Indo-European,Europe 2,71.6,57.5,34.2
Tamil,tam_Taml,Dravidian,Asia 2,74.0,55.0,47.4
Tamasheq (Latin script),taq_Latn,Afro-Asiatic,Africa,34.3,22.2,8.1
Tamasheq (Tifinagh script),taq_Tfng,Afro-Asiatic,Africa,11.8,17.6,1.0
Tatar,tat_Cyrl,Turkic,Europe 2,77.5,50.4,15.9
Telugu,tel_Telu,Dravidian,Asia 2,74.0,60.0,48.4
Tajik,tgk_Cyrl,Indo-European,Asia 1,73.0,52.6,19.6
Tagalog,tgl_Latn,Austronesian,Asia 3,78.4,64.9,59.0
Thai,tha_Thai,Tai-Kadai,Asia 3,76.5,54.6,46.4
Tigrinya,tir_Ethi,Afro-Asiatic,Africa,61.8,32.6,0.7
Tok Pisin,tpi_Latn,Indo-European,Americas/Oceania,71.1,39.9,16.6
Tswana,tsn_Latn,Atlantic-Congo,Africa,52.0,33.8,15.3
Tsonga,tso_Latn,Atlantic-Congo,Africa,43.6,29.4,7.2
Turkmen,tuk_Latn,Turkic,Asia 1,73.0,50.9,12.0
Tumbuka,tum_Latn,Atlantic-Congo,Africa,53.9,28.8,18.8
Turkish,tur_Latn,Turkic,Asia 1,75.0,60.4,54.0
Twi,twi_Latn,Atlantic-Congo,Africa,50.0,28.8,3.8
Central Atlas Tamazight,tzm_Tfng,Afro-Asiatic,Africa,14.2,19.3,1.1
Uyghur,uig_Arab,Turkic,Asia 1,64.7,41.8,4.5
Ukrainian,ukr_Cyrl,Indo-European,Europe 2,74.0,62.1,53.3
Umbundu,umb_Latn,Atlantic-Congo,Africa,37.7,21.6,12.2
Urdu,urd_Arab,Indo-European,Asia 2,74.5,56.2,30.3
Northern Uzbek,uzn_Latn,Turkic,Asia 1,72.5,54.8,31.8
Venetian,vec_Latn,Indo-European,Europe 1,72.1,61.3,34.7
Vietnamese,vie_Latn,Austroasiatic,Asia 3,75.0,58.2,58.1
Waray,war_Latn,Austronesian,Asia 3,70.1,58.8,34.1
Wolof,wol_Latn,Atlantic-Congo,Africa,48.0,26.9,8.1
Xhosa,xho_Latn,Atlantic-Congo,Africa,62.7,47.0,21.5
Eastern Yiddish,ydd_Hebr,Indo-European,Europe 2,71.6,64.8,22.4
Yoruba,yor_Latn,Atlantic-Congo,Africa,58.8,32.4,9.9
Yue Chinese,yue_Hant,Sino-Tibetan,Asia 4,76.5,54.2,10.7
Chinese (Simplified),zho_Hans,Sino-Tibetan,Asia 4,77.0,53.6,28.7
Chinese (Traditional),zho_Hant,Sino-Tibetan,Asia 4,77.5,52.4,24.0
Standard Malay,zsm_Latn,Austronesian,Asia 3,77.9,64.5,59.0
Zulu,zul_Latn,Atlantic-Congo,Africa,66.2,49.0,21.9
